id,event_type,event_cause,status,latitude,longitude,corridor,zone,police_station,direction,start_datetime,hour_of_day,day_of_week,is_weekend,month,requires_road_closure,priority,severity_tier,veh_type,description,duration_to_close_min
FKID000041,unplanned,others,closed,12.9936273,77.5844677,Bellary Road 1,Unknown,High ground,unknown,2024-03-07 20:20:31.140000+00:00,1,4,0,3,True,High,High,none,near cm office [person] towards b02 junction sir,106.41915116666668
FKID000047,unplanned,others,closed,13.0262806,77.5442344,Tumkur Road,Unknown,Yeshwanthpura,unknown,2024-03-07 20:27:15.443000+00:00,1,4,0,3,False,High,High,none,mei signal off due to power problem,133.52983253333335
FKID000048,unplanned,tree_fall,closed,12.9938639,77.5844374,Bellary Road 1,Unknown,High ground,unknown,2024-03-07 20:41:41.999000+00:00,2,4,0,3,False,High,High,none,,1829.3005564666666
FKID000049,unplanned,vehicle_breakdown,closed,12.9188682,77.6687736,ORR East 1,Unknown,Bellandur,unknown,2024-01-30 21:27:52.454000+00:00,2,2,0,1,False,High,High,bmtc_bus,bmtc buss off -road due to break down..fire station jn towards [location],55.541728516666666
FKID000053,unplanned,vehicle_breakdown,closed,12.9849833,77.5883633,Bellary Road 1,Unknown,High ground,unknown,2024-01-30 21:47:40.463000+00:00,3,2,0,1,False,High,High,private_car,"lrde ಜಂಕ್ಷನ್ ಯಿಂದ ಬಸವೇಶ್ವರ ಜಂಕ್ಷನ್ ಕಡೆ ಬರುವ ಮದ್ಯದಲ್ಲಿ ಕಾರು ಪಂಚರ್ ಆಗಿದ್ದು,ಟ್ರಾಫಿಕ್ ಸ್ಲೋ ಮುಮೆಂಟ್ ಇರುತ್ತದೆ ಸರ್",69.32987603333332
FKID000055,unplanned,road_conditions,closed,12.9842019,77.7336286,Non-corridor,Unknown,Whitefield,unknown,2024-01-30 21:54:56.083000+00:00,3,2,0,1,False,Low,Low,none,,61.27697078333333
FKID000057,unplanned,vehicle_breakdown,closed,12.9848257,77.7527586,Non-corridor,Unknown,Mahadevapura,unknown,2024-01-30 22:06:02.276000+00:00,3,2,0,1,False,Low,Low,private_car,gear jam not moving traffic slow moving,36.41233746666667
FKID000058,unplanned,tree_fall,closed,12.9932986,77.5837571,Bellary Road 1,Unknown,High ground,unknown,2024-03-07 20:51:39.532000+00:00,2,4,0,3,False,High,High,none,,1819.0784875333334
FKID000059,unplanned,tree_fall,closed,12.9937523,77.5842482,Bellary Road 1,Unknown,High ground,unknown,2024-03-07 20:47:40.640000+00:00,2,4,0,3,False,High,High,none,,1823.1111353833332
FKID000060,unplanned,tree_fall,closed,12.9938868,77.5841876,Bellary Road 1,Unknown,High ground,unknown,2024-03-07 20:45:19.752000+00:00,2,4,0,3,False,High,High,none,,1825.6380844833334
FKID000061,unplanned,vehicle_breakdown,resolved,12.9368467,77.6928653,ORR East 1,Unknown,HAL Old Airport,unknown,2024-01-30 23:05:02.339000+00:00,4,2,0,1,False,High,High,private_car,kadubisanahalli toward devarabisnahalli car starting problem,10.513486133333334
FKID000063,unplanned,vehicle_breakdown,closed,12.9513113,77.4994888,Non-corridor,Unknown,Jnanabharathi,unknown,2024-01-30 23:12:23.123000+00:00,4,2,0,1,False,Low,Low,bmtc_bus,ಬಿಎಂಟಿಸಿ ಬಸ್ ಗೇರ್ ರಾಡ್ ಕಟ್ ಆಗಿ ಕೆಟ್ಟು ನಿಂತಿದೆ ಸರ್,83.22766023333334
FKID000066,unplanned,tree_fall,closed,12.9165983,77.583705,Non-corridor,Unknown,J.P. Nagar,unknown,2024-03-07 20:58:06.297000+00:00,2,4,0,3,False,Low,Low,none,[location] sir 9 th main 46 crs trdd bsnl office tree fallen on main road closed,321.23818236666665
FKID000069,unplanned,vehicle_breakdown,closed,12.9740913,77.5452252,West of Chord Road,Unknown,Vijayanagara,unknown,2024-01-31 00:33:27.663000+00:00,6,2,0,1,False,High,High,bmtc_bus,vehicle movment very slow,44.18835605
FKID000070,unplanned,vehicle_breakdown,closed,12.9740971,77.5449011,West of Chord Road,Unknown,Vijayanagara,unknown,2024-01-31 00:36:02.277000+00:00,6,2,0,1,False,High,High,bmtc_bus,,41.797760616666665
FKID000071,unplanned,vehicle_breakdown,closed,12.9688926,77.569795,Non-corridor,Unknown,Chamarajpet,unknown,2024-01-31 01:24:44.373000+00:00,6,2,0,1,False,Low,Low,auto,"[location] road jn towards mill road jn this vehicle back wheel puncher, traffic little bit slow moving sir",26.158530816666666
FKID000072,unplanned,pot_holes,closed,12.9838737,77.5286068,Magadi Road,Unknown,Kamakshipalya,unknown,2024-01-30 23:46:07.351000+00:00,5,2,0,1,False,High,High,none,,8639.783111666668
FKID000076,unplanned,pot_holes,closed,12.9161187,77.5856548,Non-corridor,Unknown,J.P. Nagar,unknown,2024-03-07 21:11:51.734000+00:00,2,4,0,3,False,Low,Low,none,[location] sir 47 th cross road infront of milana hospital big pathole sir,5754.0936329333335
FKID000080,unplanned,others,closed,12.9449039,77.4949618,Non-corridor,Unknown,Jnanabharathi,unknown,2024-03-07 21:25:26.425000+00:00,2,4,0,3,False,Low,Low,none,bmtc bus offroad in front of adishakti temple,15.88912515
FKID000081,unplanned,tree_fall,closed,12.9873133,77.6163481,Non-corridor,Unknown,Pulikeshinagar(F.Town),unknown,2024-03-07 21:17:00.312000+00:00,2,4,0,3,False,Low,Low,none,ರಸ್ತೆ ಮಧ್ಯದಲ್ಲೇ ಮರ ಬಿದ್ದಿರುವುದರಿಂದ ಸುಗಮ ಸಂಚಾರಕ್ಕೆ ಸ್ವಲ್ಪ ನಿಧಾನ ಗತಿಯಲ್ಲಿ ಇರುತ್ತದೆ,116.8119772
FKID000086,unplanned,vehicle_breakdown,closed,12.8482637,77.6713737,Non-corridor,Unknown,Electronic City,unknown,2024-01-31 02:47:16.032000+00:00,8,2,0,1,False,Low,Low,lcv,lgv breake down veersandar to [location] near ec 1,83.47854003333333
FKID000087,unplanned,vehicle_breakdown,closed,12.96672,77.6093294,Mysore Road,Unknown,Ashok Nagar,unknown,2024-01-31 05:03:24.794000+00:00,10,2,0,1,False,High,High,bmtc_bus,ಡಿಸೋಜ ಟುವರ್ಡ್ಸ್ ಮದರ್ ತೆರೇಸಾ,52.75157615
FKID000088,unplanned,vehicle_breakdown,closed,13.0253205,77.6400845,ORR North 1,Unknown,Banaswadi,unknown,2024-03-07 21:35:50.715000+00:00,3,4,0,3,False,High,High,private_bus,front wheel tyre burst,74.82553706666666
FKID000090,unplanned,water_logging,closed,12.9641056,77.5825203,Mysore Road,Unknown,Halasuru Gate,unknown,2024-01-31 03:04:31.974000+00:00,8,2,0,1,False,High,High,none,sjp road chebar open gai de trfice no problem madam,8282.429940516666
FKID000093,unplanned,vehicle_breakdown,closed,12.9480512,77.5343585,Mysore Road,Unknown,Byatarayanapura,unknown,2024-01-31 04:21:01.833000+00:00,9,2,0,1,False,High,High,heavy_vehicle,nayadahallie towards bhel incoming side traffic no problem,47.68990556666667
FKID000095,unplanned,tree_fall,closed,13.0078566,77.5920655,Non-corridor,Unknown,R.T. Nagar,unknown,2024-03-07 21:47:02.800000+00:00,3,4,0,3,False,Low,Low,none,tv tower tree falling,8.620181266666666
FKID000099,unplanned,tree_fall,closed,13.0022504,77.5722138,Non-corridor,Unknown,Sadashivanagar,unknown,2024-03-07 21:37:11.187000+00:00,3,4,0,3,True,Low,Low,none,tree fall,8761.173063133332
FKID000107,unplanned,vehicle_breakdown,closed,12.9238693,77.5536044,ORR West 1,Unknown,Banashankari,unknown,2024-01-31 05:41:26.253000+00:00,11,2,0,1,False,High,High,others,vehicle off road @ [person] due to clutch problem,141.02791743333333
FKID000113,unplanned,construction,closed,13.0331905,77.5901915,Bellary Road 1,Unknown,Hebbala,unknown,2024-03-07 22:40:56.720000+00:00,4,4,0,3,False,High,High,none,keb cable work @anand [person],545.3734030166667
FKID000122,unplanned,tree_fall,closed,12.9392829,77.5596125,Non-corridor,Unknown,Basavanagudi,unknown,2024-03-07 23:06:49.704000+00:00,4,4,0,3,True,Low,Low,none,bbmp tree cut maduvaru bandiruttare sir.,61.79462865
FKID000123,unplanned,vehicle_breakdown,closed,12.9614398,77.5600867,Mysore Road,Unknown,Chamarajpet,unknown,2024-01-31 08:57:24.573000+00:00,14,2,0,1,False,High,High,lcv,heat,102.3569732
FKID000131,unplanned,vehicle_breakdown,closed,13.114305,77.60655,Bellary Road 2,Unknown,Yelahanka,unknown,2024-01-31 20:34:20.329000+00:00,2,3,0,2,False,High,High,heavy_vehicle,[location] onflyover to wards airport hgv lary tyer bust sir,102.53794968333334
FKID000132,unplanned,vehicle_breakdown,closed,12.9900159,77.5025425,Magadi Road,Unknown,Kamakshipalya,unknown,2024-01-31 20:33:08.407000+00:00,2,3,0,2,False,High,High,bmtc_bus,brekdown traffick slov momnet,106.48373361666667
FKID000134,unplanned,vehicle_breakdown,closed,12.9216832,77.6199372,Hosur Road,Unknown,Madiwala,unknown,2024-01-31 19:45:59.207000+00:00,1,3,0,2,True,High,High,heavy_vehicle,ಅಯ್ಯಪ್ಪ ಜಂಕ್ಷನ್ ಇಂದ ಹೋಗುವ ಮಾರ್ಗ ಮಧ್ಯೆ ಕಸದ ಲಾರಿ ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿರುತ್ತದೆ ಸರ್,75.3592525
FKID000138,unplanned,pot_holes,closed,13.0161873,77.7093516,Non-corridor,Unknown,K.R. Pura,unknown,2024-01-21 00:50:18.118000+00:00,6,6,1,1,True,Low,Low,none,path holes traffic slow movement sir,365.2268505833334
FKID000142,unplanned,water_logging,closed,12.938565,77.6979933,ORR East 1,Unknown,HAL Old Airport,unknown,2024-03-07 23:17:27.277000+00:00,4,4,0,3,False,High,High,none,panathur towards doddakannelli road bad condition  consider bbmp informed,49.972616783333336
FKID000143,unplanned,vehicle_breakdown,closed,12.9690624,77.5872736,Mysore Road,Unknown,Halasuru Gate,unknown,2024-03-07 23:36:30.807000+00:00,5,4,0,3,True,High,High,bmtc_bus,bmtc bus breck down startig agatilla sir,111.6212591
FKID000157,unplanned,vehicle_breakdown,closed,12.8700974,77.6533824,Hosur Road,Unknown,Electronic City,unknown,2024-03-08 00:00:08.664000+00:00,5,4,0,3,False,High,High,bmtc_bus,ಹೊಸ ರೋಡ್ ಸಿಗ್ನಲ್ ಸರ್ ಟೂ ವರ್ಡ್ಸ್ ಹೊಸೂರ ಸ್ಟಾರ್ಟೆರ್ ಪ್ರಾಬ್ಲಮ್ ವೀಲ್ ಜಾಮ್ ಸರ್,52.83199456666667
FKID000159,unplanned,water_logging,closed,12.9211317,77.6627683,ORR East 1,Unknown,Bellandur,unknown,2024-01-25 06:56:05.726000+00:00,12,3,0,1,False,High,High,none,[location] downramp to agar water logging traffic slow moving,9653.8610076
FKID000161,unplanned,others,closed,12.9793286,77.5105419,Non-corridor,Unknown,Jnanabharathi,unknown,2024-03-08 00:49:05.768000+00:00,6,4,0,3,False,Low,Low,none,30 minutes clear bmtc bus air pipe cut agide,81.46960444999999
FKID000162,unplanned,others,closed,12.94819783,77.53467664,Mysore Road,Unknown,Byatarayanapura,unknown,2024-01-31 23:11:54.561000+00:00,4,3,0,2,False,High,High,none,vehicle starting problem,15.3042995
FKID000163,unplanned,tree_fall,closed,13.022765,77.6014354,Non-corridor,Unknown,R.T. Nagar,unknown,2024-03-08 00:28:29.411000+00:00,5,4,0,3,True,Low,Low,none,tree fall dinnuru main rd towards pushpanjali,178.15932105
FKID000166,planned,construction,closed,13.1511992,77.620242,Bellary Road 2,Unknown,Chikkajala,unknown,2024-02-01 00:08:01.156000+00:00,5,3,0,2,False,High,High,none,"ನಮಸ್ತೆ ಸರ್, ಟೊಯೋಟಾ ಶೋರೂಮ್ ಹತ್ತಿರ ಟುವರ್ಡ್ಸ್ ಬೆಂಗಳೂರು ಸಿಟಿ ಕಡೆ ರೋಡ್  ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದರಿಂದ ಟ್ರಾಫಿಕ್ ಮೂಮೆಂಟ್ಸ್ ಸ್ಲೋ  ಆಗಿರುತ್ತದೆ",31.910260883333333
FKID000168,unplanned,pot_holes,closed,13.1212507,77.6179465,Non-corridor,North Zone 2,Yelahanka,unknown,2023-11-20 21:45:57.142000+00:00,3,1,0,11,False,Low,Low,none,[location] main road [location] potholes sir,1510.57253935
FKID000171,unplanned,vehicle_breakdown,closed,12.9664142,77.5125512,Non-corridor,Unknown,Jnanabharathi,unknown,2024-02-01 00:57:55.555000+00:00,6,3,0,2,False,Low,Low,truck,starting problem,11.80107465
FKID000172,unplanned,vehicle_breakdown,closed,12.9758786,77.5643384,Magadi Road,Unknown,Magadi Road,unknown,2024-03-08 01:06:29.002000+00:00,6,4,0,3,False,High,High,auto,traffic normal sir,24.504338233333332
FKID000174,unplanned,tree_fall,closed,12.9124656,77.5805324,Non-corridor,Unknown,J.P. Nagar,unknown,2024-03-07 05:51:32.361000+00:00,11,3,0,3,False,Low,Low,none,[location] sir 32 nd main 5 th cross 1 st phase jp nagar tree fallen on road side,1228.0686473666667
FKID000176,unplanned,vehicle_breakdown,closed,13.0378641,77.5222897,Tumkur Road,Unknown,Peenya,unknown,2024-02-01 01:56:47.544000+00:00,7,3,0,2,False,High,High,lcv,[person],86.29591815
FKID000183,unplanned,vehicle_breakdown,closed,13.0436683,77.6067467,ORR North 1,Unknown,Hebbala,unknown,2024-02-01 02:41:28.522000+00:00,8,3,0,2,False,High,High,bmtc_bus,bmtc volvo bus off road due to wheel jam near lumbini garden towards veeranapalya sir,18.84050655
FKID000184,unplanned,vehicle_breakdown,closed,13.0145688,77.5835164,Bellary Road 1,Unknown,Sadashivanagar,unknown,2024-02-01 03:01:29.624000+00:00,8,3,0,2,False,High,High,lcv,tyre puncture,23.641425966666667
FKID000185,unplanned,vehicle_breakdown,closed,13.0186759,77.5588615,Tumkur Road,Unknown,Yeshwanthpura,unknown,2024-03-08 04:17:45.450000+00:00,9,4,0,3,False,High,High,lcv,10minutes it will be cleared sir,36.504006333333336
FKID000186,unplanned,vehicle_breakdown,closed,12.9494883,77.5368741,Mysore Road,Unknown,Byatarayanapura,unknown,2024-03-08 04:15:18.097000+00:00,9,4,0,3,True,High,High,ksrtc_bus,,23.382822833333332
FKID000187,unplanned,vehicle_breakdown,closed,13.0229482,77.601028,Non-corridor,Unknown,R.T. Nagar,unknown,2024-03-08 04:24:30.158000+00:00,9,4,0,3,False,Low,Low,others,traffic slow,104.21347743333334
FKID000188,unplanned,vehicle_breakdown,closed,12.9928917,77.5854867,Bellary Road 1,Unknown,High ground,unknown,2024-02-01 02:03:46.297000+00:00,7,3,0,2,False,High,High,private_bus,private bus cluch fail ..vehicle stopped in side road  ..traffic moving side road,86.29412574999999
FKID000189,unplanned,vehicle_breakdown,closed,12.9625233,77.6415686,Old Airport Road,Unknown,Jeevanbheemanagar,unknown,2024-03-08 04:27:41.649000+00:00,9,4,0,3,False,High,High,private_car,,70.8526748
FKID000197,unplanned,vehicle_breakdown,closed,12.9891874,77.5070709,Magadi Road,Unknown,Kamakshipalya,unknown,2024-03-08 04:03:17.004000+00:00,9,4,0,3,False,High,High,heavy_vehicle,wheel puncher..,72.9697583
FKID000199,unplanned,construction,closed,13.16120295,77.62691818,Bellary Road 2,Unknown,Chikkajala,unknown,2024-02-01 04:22:39.844000+00:00,9,3,0,2,False,High,High,none,road work,60.798384383333335
FKID000202,unplanned,others,closed,12.8569988,77.5889807,Bannerghata Road,Unknown,Hulimavu,unknown,2024-02-01 05:05:45.838000+00:00,10,3,0,2,False,High,High,none,bmts bus offload in gottigere bus stop.starting problam,119.59072880000001
FKID000203,unplanned,vehicle_breakdown,closed,12.9446407,77.5969852,Non-corridor,Unknown,Wilson Garden,unknown,2024-02-01 03:56:43.720000+00:00,9,3,0,2,False,Low,Low,bmtc_bus,vaccum problem,78.98550595
FKID000205,unplanned,vehicle_breakdown,closed,13.0414238,77.545608,ORR North 2,Unknown,Jalahalli,unknown,2024-03-08 05:42:27.352000+00:00,11,4,0,3,False,High,High,truck,,138.03128305
FKID000206,unplanned,vehicle_breakdown,closed,12.95983785,77.64811735,Old Airport Road,Unknown,Jeevanbheemanagar,unknown,2024-02-01 05:57:58.222000+00:00,11,3,0,2,False,High,High,lcv,vehicle breakdown at old airport road opp [person] hotel,28.376774483333335
FKID000208,unplanned,vehicle_breakdown,closed,12.9197329,77.5835635,Non-corridor,Unknown,Jayanagara,unknown,2024-03-08 05:42:59.334000+00:00,11,4,0,3,False,Low,Low,bmtc_bus,,93.05635131666666
FKID000214,unplanned,vehicle_breakdown,closed,12.8885722,77.640446,Hosur Road,Unknown,Electronic City,unknown,2024-02-01 06:35:40.613000+00:00,12,3,0,2,False,High,High,others,traffic no problem sir,11.49699995
FKID000216,unplanned,construction,closed,13.0450698,77.6440587,Non-corridor,Unknown,Hennuru,unknown,2024-03-08 05:53:36.201000+00:00,11,4,0,3,False,Low,Low,none,"ನಮಸ್ತೆ ಸರ್, ಹೆಣ್ಣೂರ್ ಬಾಗ್ಲೂರ್ ಮುಖ್ಯ ರಸ್ತೆ ಗೆದ್ದಲಹಳ್ಳಿ ಸಿಮೆಂಟ್ ರಸ್ತೆ ಮಾಡುತ್ತಿರುವುದರಿಂದ ವಡ್ದರ್ಪಾಳ್ಯ ಕಡೆಯಿಂದ ಗೆದ್ದಲಹಳ್ಳಿ ಹೋಗುವ ಕಡೆಗೆ ನಿಧಾನಗತಿಯಲ್ಲಿರುತ್ತದೆ ಸಂಚಾರ ನಮಸ್ತೆ ಸರ್",9655.520589099999
FKID000217,unplanned,vehicle_breakdown,resolved,12.9541849,77.5435568,Mysore Road,Unknown,Byatarayanapura,unknown,2024-02-01 07:13:22.381000+00:00,12,3,0,2,False,High,High,bmtc_bus,bolt cut,66.23017465000001
FKID000218,unplanned,others,closed,12.9679023,77.5680413,Non-corridor,Unknown,Chamarajpet,unknown,2024-03-08 06:26:58.707000+00:00,11,4,0,3,False,Low,Low,none,vehicle starting problem sir,199.88949181666666
FKID000224,unplanned,vehicle_breakdown,closed,12.9013118,77.6322397,Hosur Road,Unknown,Madiwala,unknown,2024-02-01 08:30:57.503000+00:00,14,3,0,2,False,High,High,private_bus,private bus offroaded on ec flyover inbetween gb palya towords hongsandra metro staion towords bommanahalli traffic movement slow ide sir,75.03727443333334
FKID000226,unplanned,others,closed,13.0379483,77.6257684,Hennur Main Road,Unknown,K.G. Halli,unknown,2024-03-08 06:28:21.435000+00:00,11,4,0,3,False,High,High,none,bmtc bus is stucked at service road,43.87439846666667
FKID000234,unplanned,vehicle_breakdown,closed,13.0176948,77.553788,Tumkur Road,Unknown,Yeshwanthpura,unknown,2024-02-01 20:14:54.004000+00:00,1,4,0,2,False,High,High,others,there is a bit of traffic congestion.,22.174727083333334
FKID000243,unplanned,tree_fall,closed,12.9441328,77.5010682,Non-corridor,Unknown,Jnanabharathi,unknown,2024-03-08 07:07:56.737000+00:00,12,4,0,3,True,Low,Low,none,,105.48940756666666
FKID000244,unplanned,tree_fall,closed,12.8785528,77.6720521,Non-corridor,Unknown,Electronic City,unknown,2024-03-08 07:16:00.240000+00:00,12,4,0,3,False,Low,Low,none,heavy rain tree fall sir,2198.129693766667
FKID000245,unplanned,vehicle_breakdown,closed,12.9643404,77.5855854,Mysore Road,Unknown,Halasuru Gate,unknown,2024-02-01 21:00:35.479000+00:00,2,4,0,2,False,High,High,lcv,lgv ವಾಹನವು ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿದ್ದು ಸೂಲ್ಪ ಸಮಯದಲ್ಲಿ ಸರಿ ಮಾಡಿಕೊಂಡು ಹೋಗುತ್ತೇವೆ ಎಂದು ತಿಳಿಸಿರುತ್ತಾರೆ ಸರ್,57.51257438333334
FKID000246,unplanned,tree_fall,closed,12.8785573,77.6719048,Non-corridor,Unknown,Electronic City,unknown,2024-03-08 07:18:53.631000+00:00,12,4,0,3,False,Low,Low,none,heavy rain tree fall sir,2195.455855816667
FKID000249,unplanned,vehicle_breakdown,closed,13.0451384,77.5070153,Tumkur Road,Unknown,Peenya,unknown,2024-02-01 21:11:45.068000+00:00,2,4,0,2,False,High,High,heavy_vehicle,,33.33879541666667
FKID000250,unplanned,vehicle_breakdown,closed,12.9474732,77.5340694,Mysore Road,Unknown,Byatarayanapura,unknown,2024-03-08 07:25:21.653000+00:00,12,4,0,3,False,High,High,private_bus,city incoming side bhel 2nd gate opposite mahindra showroom slow moving traffic,39.6093981
FKID000254,unplanned,vehicle_breakdown,closed,13.0355513,77.5265219,Tumkur Road,Unknown,Peenya,unknown,2024-03-08 07:56:14.949000+00:00,13,4,0,3,False,High,High,private_car,peenya flyover incoming car off road due to starting problem at peenya industry [location] station on flyover vehicles are one side moving towards goragontepalya.,10.150965166666667
FKID000255,unplanned,tree_fall,closed,12.92335,77.58296,Non-corridor,Unknown,Jayanagara,unknown,2024-03-08 08:06:30.352000+00:00,13,4,0,3,True,Low,Low,none,,66.3340463
FKID000256,unplanned,vehicle_breakdown,closed,12.9390583,77.6946217,ORR East 1,Unknown,HAL Old Airport,unknown,2024-02-01 23:19:25.609000+00:00,4,4,0,2,False,High,High,bmtc_bus,ನಮಸ್ಕಾರ ಮೇಡಂ,19.115834
FKID000257,unplanned,tree_fall,resolved,12.8509801,77.6601903,Non-corridor,Unknown,Electronic City,unknown,2024-03-08 08:01:56.993000+00:00,13,4,0,3,False,Low,Low,none,ವಟೆರಾ ಜಂಕ್ಷನ್ ಹತ್ತಿರ ಮರ ಬಿದ್ದಿದ್ದು ಒಂದು ಲೈನ್ ನಲ್ಲಿ ವಾಹನಗಳ ಸಂಚಾರ ಇರುತ್ತದೆ ಸರ್,64.12170315
FKID000260,unplanned,others,closed,13.0145576,77.5696436,Non-corridor,Unknown,Sadashivanagar,unknown,2024-02-02 01:06:28.867000+00:00,6,4,0,2,True,Low,Low,none,ಸದರಿ ವಹಿಕಲ್ ರಸ್ತೆಯಲ್ಲಿ ಬಿಟ್ಟು ಡ್ರೈವರ್ ವಾಹನ ಬಿಟ್ಟು ಹೋಗಿರಿತ್ತಾನೆ ಸರ್.,42.96236663333333
FKID000264,unplanned,road_conditions,closed,12.9697862,77.7499252,Non-corridor,Unknown,Whitefield,unknown,2024-02-02 04:22:15.702000+00:00,9,4,0,2,False,Low,Low,none,immadihalli junction,1107.1190462833333
FKID000265,unplanned,others,closed,12.9228111,77.7365506,Non-corridor,Unknown,Whitefield,unknown,2024-02-02 03:37:48.589000+00:00,9,4,0,2,False,Low,Low,none,gunjur govt school road work traffic slow movement sir,87.31756581666667
FKID000267,unplanned,vehicle_breakdown,closed,12.96652735,77.60810502,Mysore Road,Unknown,Ashok Nagar,unknown,2024-03-08 08:45:13.150000+00:00,14,4,0,3,False,High,High,lcv,,66.13607151666666
FKID000268,unplanned,vehicle_breakdown,closed,12.926187,77.6772301,ORR East 1,Unknown,Bellandur,unknown,2024-02-02 04:47:47.027000+00:00,10,4,0,2,False,High,High,bmtc_bus,call me [phone]. bellandur flyover towards [location].,13.551236183333334
FKID000271,unplanned,vehicle_breakdown,closed,13.029877,77.5377738,Tumkur Road,Unknown,Yeshwanthpura,unknown,2024-02-02 05:02:28.323000+00:00,10,4,0,2,False,High,High,others,starting problem traffic no issues sir,30.63011775
FKID000273,unplanned,vehicle_breakdown,closed,12.8353407,77.6791817,Non-corridor,Unknown,Electronic City,unknown,2024-02-02 06:42:32.042000+00:00,12,4,0,2,False,Low,Low,heavy_vehicle,hgv vehicle gearbox problem sir,18.7735204
FKID000274,unplanned,vehicle_breakdown,closed,12.9163498,77.6122067,Non-corridor,Unknown,Mico Layout,unknown,2024-02-02 06:51:47.563000+00:00,12,4,0,2,False,Low,Low,lcv,slow traffic movement from 29th main road towards 16th main of [person].,77.0688961
FKID000283,unplanned,water_logging,closed,12.9616717,77.6308433,Non-corridor,Unknown,Halasur,unknown,2024-03-08 09:08:49.430000+00:00,14,4,0,3,False,Low,Low,none,,820.8788695333334
FKID000294,unplanned,others,closed,12.9827733,77.5622665,Non-corridor,Unknown,Sheshadripuram,unknown,2024-02-02 10:56:03.633000+00:00,16,4,0,2,False,Low,Low,none,fire accident,25.367629383333334
FKID000299,unplanned,vehicle_breakdown,closed,12.9520875,77.5407653,Mysore Road,Unknown,Byatarayanapura,unknown,2024-03-08 18:19:44.590000+00:00,23,4,0,3,False,High,High,heavy_vehicle,good morning sir out going side near [person] temple vehicle break down sir traffic normal ide sir,15.771932999999999
FKID000301,unplanned,accident,closed,12.9595784,77.6492766,Old Airport Road,Unknown,Jeevanbheemanagar,unknown,2024-02-02 19:05:48.642000+00:00,0,5,1,2,False,High,High,none,self and small accindent tata ace [person] breaked near [location] to towards city traffic slow moving sir 🙏,35.956496816666665
FKID000303,unplanned,vehicle_breakdown,resolved,12.9557117,77.6916217,Old Airport Road,Unknown,HAL Old Airport,unknown,2024-02-02 19:27:18.371000+00:00,0,5,1,2,False,High,High,truck,"vehicle breakdown due to steering problem , slow movements from sd road to [person] bridge.",27.47141106666667
